符合條件商品
資料日期：2021年 12月  3日
策略,	10漲停同買同賣資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	漲停次數,	四大同買,	四大同賣,	內外盤
執行時間：2021-12-05 17:22 符合檔數(1584)
376	,2433.TW,互盛電,51.3,-0.19,14,0,0,0,15
377	,2434.TW,統懋,40,1.27,14,3,0,0,14
378	,2436.TW,偉詮電,99,3.13,21252,3,7,1,13
379	,2438.TW,翔耀,13.65,-2.15,138,12,0,0,13
380	,2439.TW,美律,94.5,-1.56,3581,2,0,2,8
381	,2440.TW,太空梭,16.55,1.22,422,16,0,0,10
382	,2441.TW,超豐,77.8,-0.51,1041,1,9,7,9
383	,2442.TW,新美齊,11.4,1.33,846,2,0,0,11
384	,2444.TW,兆勁,12,1.27,146,3,0,0,11
385	,2449.TW,京元電子,44.4,1.6,7774,0,8,10,11
386	,2450.TW,神腦,32.95,-0.45,89,0,0,0,9
387	,2451.TW,創見,69.8,0,407,0,0,5,12
388	,2453.TW,凌群,26.35,-0.19,274,4,0,0,15
389	,2454.TW,聯發科,1060,-1.85,4782,1,10,7,17
390	,2455.TW,全新,147.5,2.08,3420,2,3,0,13
391	,2456.TW,奇力新,93,1.75,1472,0,5,4,10
392	,2457.TW,飛宏,36.2,1.54,2374,16,0,0,11
393	,2458.TW,義隆,162,0.62,1365,1,8,11,11
394	,2459.TW,敦吉,58.5,-0.51,106,0,1,0,17
395	,2460.TW,建通,27.05,1.12,819,9,2,0,11
396	,2461.TW,光群雷,22.85,0.66,592,1,0,0,15
397	,2462.TW,良得電,28.05,1.08,170,0,0,0,11
398	,2464.TW,盟立,41.95,0,448,0,1,1,13
399	,2465.TW,麗臺,74.3,-0.13,5454,30,0,0,10
400	,2466.TW,冠西電,36.2,0,74,0,0,0,27
401	,2467.TW,志聖,50.7,0,191,1,0,0,10
402	,2468.TW,華經,13.1,0,31,1,0,0,7
403	,2471.TW,資通,25.15,0.4,51,1,0,0,9
404	,2472.TW,立隆電,68.2,-0.58,1347,2,0,2,12
405	,2474.TW,可成,149.5,0.34,2536,0,7,4,5
406	,2476.TW,鉅祥,63.1,3.95,6843,4,2,0,11
407	,2477.TW,美隆電,31.2,0.32,375,3,0,0,18
408	,2478.TW,大毅,66.8,0.75,268,1,0,0,13
409	,2480.TW,敦陽科,72,0,109,0,1,1,13
410	,2481.TW,強茂,111.5,4.21,59726,8,18,9,15
411	,2482.TW,連宇,14.4,1.41,313,5,0,0,17
412	,2483.TW,百容,24,1.05,118,1,0,0,9
413	,2484.TW,希華,40.3,0.12,4983,4,0,0,15
414	,2485.TW,兆赫,21.3,2.4,2392,5,2,0,10
415	,2486.TW,一詮,53.5,-0.19,4145,11,4,3,11
416	,2488.TW,漢平,27.25,0.74,52,0,0,0,11
