符合條件商品
資料日期：2022年  1月  4日
策略,	01準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券
執行時間：2022-01-05 08:37 符合檔數(1442)
271	,2303.TW,聯電,63,-0.63,113869,0.52,0.76,0.72,0.54,0.74,0.54
272	,2305.TW,全友,10.5,3.45,35591,0.54,0.74,0.27,0,0.4,0.52
273	,2308.TW,台達電,297,5.32,15957,0.44,0.72,0.66,0.62,0.45,0.48
274	,2312.TW,金寶,15.8,0.32,24467,0.6,0.54,0.74,0,0.57,0.48
275	,2313.TW,華通,44.4,1.37,11068,0.48,0.62,0.76,0.47,0.46,0.44
276	,2314.TW,台揚,77,0.52,2178,0.64,0.7,0.74,0.26,0.57,0.45
277	,2316.TW,楠梓電,35.5,0.85,2283,0.34,0.64,0.33,0,0.52,0.43
278	,2317.TW,鴻海,103.5,0.49,18461,0.54,0.76,0.68,0.62,0.46,0.46
279	,2323.TW,中環,12.9,2.79,596011,0.44,0.68,0.6,0.32,0.47,0.5
280	,2324.TW,仁寶,24.35,0.21,9724,0.54,0.72,0.54,0.52,0.6,0.48
281	,2327.TW,國巨,533,8.55,22128,0.42,0.68,0.7,0.64,0.52,0.44
282	,2328.TW,廣宇,39.05,-0.26,2119,0.68,0.6,0.76,0.18,0.54,0.52
283	,2329.TW,華泰,25.9,-0.38,3232,0.74,0.58,0.66,0.11,0.64,0.36
284	,2330.TW,台積電,656,3.96,90946,0.34,0.6,0.58,0.52,0.6,0.5
285	,2331.TW,精英,22.15,-0.67,2909,0.58,0.68,0.7,0.17,0.68,0.64
