符合條件商品
資料日期：2023年  4月 20日
策略,	01主力買進股
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力買進比
執行時間：2023-04-20 23:57 符合檔數(641)
430	,8271.TW,宇瞻,53,-4.5,1450,0.67
431	,2314.TW,台揚,47.5,-8.3,10559,0.67
432	,4207.TW,環泰,14.9,0,711,0.67
433	,6781.TW,AES-KY,734,-2.65,632,0.67
434	,3479.TW,安勤,99,-4.81,5713,0.66
435	,3287.TW,廣寰科,14.5,-2.03,214,0.66
436	,2027.TW,大成鋼,44.85,-0.44,5933,0.66
437	,3141.TW,晶宏,102.5,-3.76,1941,0.66
438	,8110.TW,華東,13.7,-1.44,1632,0.66
439	,6140.TW,訊達,22.55,-1.96,1304,0.66
440	,3714.TW,富采,52.3,-2.43,5570,0.66
441	,1215.TW,卜蜂,92.3,-2.02,2290,0.66
442	,5704.TW,老爺知,63,0.32,1885,0.66
443	,6590.TW,普鴻,96.7,-7.02,751,0.66
444	,3217.TW,優群,106,-6.19,2451,0.65
445	,1701.TW,中化,26.35,-2.77,3873,0.65
446	,3088.TW,艾訊,76.9,-2.66,1263,0.65
447	,3325.TW,旭品,17.8,-6.07,1675,0.65
448	,8111.TW,立碁,24.45,-3.74,12172,0.65
449	,6753.TW,龍德造船,121,-5.84,2702,0.65
450	,5425.TW,台半,101,-0.98,4083,0.65
451	,6461.TW,益得,35.35,-5.61,1822,0.65
452	,6509.TW,聚和,45.85,-2.96,2266,0.65
453	,2485.TW,兆赫,20.1,-4.06,2284,0.65
454	,3289.TW,宜特,87.5,-3.31,2077,0.64
455	,1447.TW,力鵬,8.04,-0.74,942,0.64
456	,6026.TW,福邦證,12.1,-4.35,3919,0.64
457	,6016.TW,康和證,11.35,-1.3,831,0.64
458	,3147.TW,大綜,67.4,-3.99,2565,0.64
459	,2607.TW,榮運,27.7,-0.36,1402,0.64
460	,2812.TW,台中銀,13.95,-1.06,6124,0.64
461	,3588.TW,通嘉,62.7,-4.13,1044,0.64
462	,6239.TW,力成,89.8,-0.66,2407,0.64
